Rodents,Synanthropic,Urban_areas,Cyclicity
Abrocoma_bennettii,N,NA,Y
Abrothrix_longipilis,N,NA,N
Abrothrix_longipilis,N,NA,Y
Abrothrix_olivaceus,O,NA,Y
Acomys_cahirinus,O,NA,N
Acomys_dimidiatus,N,Y,Y
Acomys_russatus,N,NA,N
Acomys_russatus,N,NA,Y
Acomys_spinosissimus,N,NA,N
Aethomys_chrysophilus,N,NA,N
Aethomys_hindei,N,NA,N
Aethomys_ineptus,N,NA,N
Akodon_azarae,O,NA,Y
Akodon_cursor,N,NA,N
Akodon_dolores,N,NA,Y
Akodon_serrensis,N,NA,N
Akodon_toba,N,NA,Y
Allocricetulus_eversmanni,N,NA,N
Apodemus_agrarius,O,NA,Y
Apodemus_agrarius,O,NA,N
Apodemus_agrarius,O,Y,Y
Apodemus_argenteus,O,NA,Y
Apodemus_draco,N,NA,Y
Apodemus_flavicollis,O,NA,N
Apodemus_flavicollis,O,NA,Y
Apodemus_speciosus,O,NA,Y
Apodemus_sylvaticus,O,NA,N
Apodemus_sylvaticus,O,NA,Y
Apodemus_sylvaticus,O,Y,N
Apodemus_uralensis,O,NA,Y
Arvicanthis_nairobae,O,NA,N
Arvicanthis_neumanni,O,NA,Y
Arvicola_amphibius,O,NA,Y
Arvicola_sapidus,N,NA,N
Beamys_hindei,N,NA,N
Callosciurus_adamsi,N,NA,Y
Callosciurus_caniceps,N,NA,N
Callosciurus_erythraeus,N,NA,Y
Callosciurus_erythraeus,N,NA,N
Callosciurus_finlaysonii,N,Y,N
Callosciurus_notatus,N,Y,Y
Calomys_venustus,N,NA,N
Calomys_venustus,N,NA,Y
Castor_canadensis,N,NA,N
Castor_fiber,N,Y,N
Castor_fiber,N,NA,N
Cavia_aperea,N,NA,Y
Cerradomys_subflavus,N,NA,N
Chaetodipus_hispidus,N,NA,Y
Chaetodipus_hispidus,N,NA,N
Chaetodipus_penicillatus,N,NA,Y
Chinchilla_lanigera,N,NA,N
Chionomys_nivalis,N,NA,N
Cricetulus_barabensis,O,NA,Y
Cricetulus_migratorius,O,Y,Y
Ctenomys_talarum,N,NA,N
Cuniculus_paca,N,NA,Y
Cynomys_ludovicianus,O,NA,Y
Dendromus_mesomelas,N,NA,Y
Dicrostonyx_groenlandicus,N,NA,Y
Dicrostonyx_richardsoni,N,NA,Y
Dicrostonyx_torquatus,N,NA,Y
Dipodomys_agilis,N,NA,N
Dipodomys_merriami,N,NA,N
Dipodomys_ordii,N,NA,Y
Dipodomys_spectabilis,N,NA,Y
Dryomys_nitedula,N,NA,N
Eligmodontia_morgani,N,NA,N
Eliomys_melanurus,N,NA,N
Eliomys_quercinus,O,NA,Y
Eliomys_quercinus,O,NA,N
Ellobius_talpinus,N,NA,N
Erethizon_dorsatum,N,NA,Y
Erethizon_dorsatum,N,NA,N
Gerbilliscus_guineae,N,NA,N
Gerbilliscus_leucogaster,N,NA,N
Gerbilliscus_leucogaster,N,NA,Y
Gerbilliscus_robustus,N,Y,N
Gerbilliscus_robustus,N,NA,N
Gerbilliscus_robustus,N,NA,Y
Gerbillurus_vallinus,N,NA,Y
Gerbillus_andersoni,N,NA,N
Gerbillus_dasyurus,N,NA,N
Gerbillus_gerbillus,N,NA,N
Gerbillus_henleyi,N,NA,N
Gerbillus_henleyi,N,NA,Y
Gerbillus_pyramidum,O,NA,N
Glaucomys_sabrinus,O,NA,N
Glaucomys_sabrinus,O,NA,Y
Glaucomys_volans,O,NA,Y
Glis_glis,O,NA,Y
Grammomys_dolichurus,N,Y,N
Grammomys_dolichurus,N,NA,N
Graphiurus_murinus,O,Y,N
Heimyscus_fumosus,N,NA,Y
Heteromys_desmarestianus,O,NA,Y
Holochilus_brasiliensis,N,NA,N
Holochilus_sciureus,N,Y,N
Hybomys_univittatus,N,NA,N
Hydrochoerus_hydrochaeris,N,NA,N
Hydromys_chrysogaster,N,NA,N
Hylomyscus_stella,N,NA,Y
Hypogeomys_antimena,N,NA,N
Jaculus_jaculus,N,NA,N
Lagostomus_maximus,N,NA,N
Lagurus_lagurus,N,NA,Y
Lariscus_hosei,N,NA,Y
Lasiopodomys_brandtii,N,NA,Y
Leggadina_lakedownensis,N,NA,N
Lemmus_lemmus,N,NA,Y
Lemmus_sibiricus,N,NA,Y
Lemmus_trimucronatus,N,NA,Y
Lemniscomys_rosalia,N,NA,N
Lemniscomys_zebra,N,NA,N
Leopoldamys_edwardsi,N,NA,N
Leopoldamys_sabanus,N,NA,N
Marmota_bobak,N,NA,Y
Marmota_flaviventris,N,NA,N
Marmota_himalayana,N,NA,N
Marmota_marmota,N,NA,N
Marmota_sibirica,N,NA,Y
Mastacomys_fuscus,N,NA,N
Mastomys_awashensis,N,NA,N
Mastomys_coucha,N,NA,Y
Mastomys_erythroleucus,O,NA,Y
Mastomys_huberti,O,NA,Y
Mastomys_natalensis,TS,NA,Y
Maxomys_baeodon,N,NA,N
Maxomys_ochraceiventer,N,NA,N
Maxomys_rajah,N,NA,N
Maxomys_surifer,N,NA,N
Maxomys_whiteheadi,N,NA,N
Melomys_burtoni,N,NA,N
Melomys_burtoni,N,NA,Y
Melomys_cervinipes,N,NA,Y
Menetes_berdmorei,N,NA,N
Meriones_crassus,O,NA,Y
Meriones_meridianus,N,NA,Y
Meriones_tamariscinus,N,NA,Y
Meriones_tristrami,N,NA,Y
Meriones_unguiculatus,O,NA,Y
Mesembriomys_gouldii,N,NA,Y
Micromys_minutus,O,NA,N
Micromys_minutus,O,NA,Y
Microtus_agrestis,O,NA,Y
Microtus_arvalis,O,NA,N
Microtus_arvalis,O,NA,Y
Microtus_cabrerae,N,NA,N
Microtus_californicus,O,NA,Y
Microtus_duodecimcostatus,N,NA,Y
Microtus_fortis,O,NA,Y
Microtus_fortis,O,NA,N
Microtus_gregalis,N,NA,Y
Microtus_guentheri,N,NA,Y
Microtus_levis,N,NA,Y
Microtus_longicaudus,N,NA,Y
Microtus_lusitanicus,N,NA,N
Microtus_middendorffii,N,NA,Y
Microtus_montanus,N,NA,Y
Microtus_ochrogaster,N,NA,Y
Microtus_ochrogaster,N,NA,N
Microtus_oeconomus,N,NA,Y
Microtus_pennsylvanicus,O,NA,N
Microtus_pennsylvanicus,O,NA,Y
Microtus_socialis,N,NA,N
Microtus_socialis,N,NA,Y
Microtus_tatricus,N,NA,Y
Mus_indutus,N,NA,N
Mus_macedonicus,N,NA,N
Mus_mattheyi,O,NA,N
Mus_minutoides,O,Y,Y
Mus_minutoides,O,NA,N
Mus_minutoides,O,NA,Y
Mus_musculus,TS,NA,Y
Muscardinus_avellanarius,N,NA,N
Myocastor_coypus,N,NA,N
Myodes_gapperi,O,NA,N
Myodes_gapperi,O,NA,Y
Myodes_glareolus,O,NA,Y
Myodes_glareolus,O,NA,N
Myodes_regulus,O,NA,N
Myodes_rufocanus,N,NA,Y
Myodes_rutilus,O,NA,Y
Myopus_schisticolor,O,NA,Y
Neacomys_tenuipes,N,NA,Y
Necromys_lasiurus,O,NA,Y
Necromys_lenguarum,N,NA,Y
Necromys_urichi,N,NA,N
Nectomys_rattus,N,NA,N
Nectomys_squamipes,O,NA,Y
Neotamias_senex,N,NA,Y
Neotoma_albigula,O,NA,Y
Neotoma_floridana,O,NA,N
Neotoma_fuscipes,O,NA,N
Neotoma_lepida,O,NA,Y
Neotoma_magister,N,NA,Y
Neotoma_mexicana,N,NA,Y
Niviventer_cremoriventer,N,NA,N
Notomys_alexis,N,NA,N
Notomys_alexis,N,NA,Y
Notomys_fuscus,N,NA,Y
Nyctomys_sumichrasti,O,NA,Y
Octodon_degus,O,NA,Y
Oecomys_concolor,N,NA,N
Oligoryzomys_flavescens,O,NA,Y
Oligoryzomys_nigripes,O,NA,N
Oligoryzomys_nigripes,O,NA,Y
Ondatra_zibethicus,O,NA,Y
Onychomys_leucogaster,N,NA,N
Onychomys_torridus,N,NA,N
Oryzomys_megacephalus,N,NA,N
Oryzomys_melanotis,N,NA,Y
Oryzomys_nitidus,N,NA,N
Oryzomys_nitidus,N,NA,Y
Oryzomys_palustris,N,NA,Y
Oryzomys_subflavus,N,NA,N
Oryzomys_subflavus,N,NA,Y
Otomys_sloggetti,N,NA,N
Oxymycterus_rufus,N,NA,N
Paraxerus_cepapi,N,NA,Y
Perognathus_flavus,N,NA,Y
Peromyscus_boylii,O,NA,Y
Peromyscus_californicus,N,NA,Y
Peromyscus_eremicus,O,NA,Y
Peromyscus_gossypinus,O,NA,N
Peromyscus_leucopus,O,NA,Y
Peromyscus_maniculatus,O,NA,Y
Peromyscus_maniculatus,O,NA,N
Peromyscus_truei,O,NA,Y
Peromyscus_truei,O,NA,N
Phodopus_sungorus,O,NA,Y
Phyllotis_darwini,O,NA,Y
Praomys_daltoni,O,Y,N
Praomys_delectorum,N,NA,N
Praomys_misonnei,N,NA,Y
Praomys_rostratus,O,NA,N
Proechimys_guairae,N,NA,N
Proechimys_semispinosus,N,NA,N
Psammomys_obesus,O,NA,Y
Pseudomys_albocinereus,N,NA,Y
Pseudomys_australis,N,NA,Y
Pseudomys_delicatulus,N,NA,Y
Pseudomys_desertor,N,NA,Y
Pseudomys_hermannsburgensis,N,NA,Y
Pseudomys_nanus,N,NA,Y
Pseudomys_novaehollandiae,N,NA,N
Pteromys_volans,O,NA,N
Pygeretmus_pumilio,N,NA,N
Rattus_argentiventer,O,NA,Y
Rattus_colletti,N,NA,Y
Rattus_exulans,TS,NA,Y
Rattus_fuscipes,N,NA,Y
Rattus_fuscipes,N,NA,N
Rattus_losea,O,NA,Y
Rattus_lutreolus,N,NA,Y
Rattus_norvegicus,NA,NA,Y
Rattus_norvegicus,TS,Y,N
Rattus_rattus,TS,NA,Y
Rattus_tiomanicus,O,NA,Y
Rattus_tunneyi,N,NA,Y
Reithrodon_auritus,N,NA,N
Reithrodontomys_fulvescens,N,NA,N
Reithrodontomys_megalotis,O,NA,N
Reithrodontomys_montanus,N,NA,N
Rhabdomys_pumilio,O,Y,N
Rhipidomys_mastacalis,N,NA,Y
Rhombomys_opimus,N,NA,N
Saccostomus_campestris,N,NA,N
Saccostomus_mearnsi,N,NA,N
Sciurotamias_davidianus,N,NA,N
Sekeetamys_calurus,N,NA,N
Sicista_betulina,N,NA,N
Sicista_subtilis,N,NA,Y
Sigmodon_alstoni,O,NA,Y
Sigmodon_hispidus,O,NA,Y
Spermophilus_citellus,N,NA,Y
Spermophilus_citellus,N,NA,N
Spermophilus_dauricus,N,NA,Y
Spermophilus_lateralis,O,NA,Y
Spermophilus_pygmaeus,N,NA,N
Steatomys_pratensis,N,NA,Y
Steatomys_pratensis,N,NA,N
Sundamys_muelleri,N,NA,Y
Sundasciurus_hippurus,N,NA,N
Sundasciurus_lowii,N,NA,N
Tamias_minimus,O,NA,Y
Tamias_quadrimaculatus,N,NA,N
Tamias_sibiricus,O,NA,Y
Tamiasciurus_hudsonicus,O,NA,Y
Taterillus_gracilis,N,NA,Y
Thalpomys_cerradensis,N,NA,Y
Thalpomys_lasiotis_,N,NA,Y
Thaptomys_nigrita,N,NA,Y
Thomomys_bottae,N,NA,N
Thomomys_talpoides,N,NA,Y
Trinomys_iheringi,N,NA,N
Tscherskia_triton,O,NA,Y
Uromys_caudimaculatus,N,NA,Y
Zapus_hudsonius,N,NA,N
Zygodontomys_brevicauda,O,NA,Y
